City,Country,ASN Name,SHODAN / SCAN Scan Date,Model/Version,Source of Data,Classification,Product
Riyadh,Saudi Arabia,SAUDINETSTC-AS Autonomus System Number for SaudiNet,23.04.2012,Blue Coat SG8100,SHODAN / SCAN,ISP,ProxySG
Kuwait,Kuwait,MADA-AS Mada Communications,08.05.2012,Blue Coat SG8100,SHODAN / SCAN,ISP,ProxySG
Riyadh,Saudi Arabia,SAUDINETSTC-AS Autonomus System Number for SaudiNet,06.11.2012,Blue Coat SG8100,SHODAN / SCAN,ISP,ProxySG
Abu Dhabi,United Arab Emirates,EMIRATES-INTERNET Emirates Telecommunications Corporation,01.01.2013,Blue Coat SG8100,SHODAN / SCAN,ISP,ProxySG
Abu Dhabi,United Arab Emirates,EMIRATES-INTERNET Emirates Telecommunications Corporation,,,SCAN,ISP,ProxySG
Abu Dhabi,United Arab Emirates,EMIRATES-INTERNET Emirates Telecommunications Corporation,,,SCAN,ISP,ProxySG
Abu Dhabi,United Arab Emirates,EMIRATES-INTERNET Emirates Telecommunications Corporation,,,SCAN,ISP,ProxySG
Abu Dhabi,United Arab Emirates,EMIRATES-INTERNET Emirates Telecommunications Corporation,,,SCAN,ISP,ProxySG
Doha,Qatar,GCC-MPLS-PEERING Qatar Telecom (Qtel) Q.S.C.,,,FROM PRIOR RESEARCH,ISP,ProxySG
Cairo,Egypt,ETISALAT-MISR (Hostname refers to nile-online),10.08.2012,Blue Coat SG400,SHODAN / SCAN,ISP,ProxySG
Seoul,South Korea,NICNET Korea Telecom-PUBNET,04.07.2010,Blue Coat PacketShaper 8.4.3,SHODAN / SCAN,ISP,PacketShaper
Seocho,South Korea,HANARO-AS Hanaro Telecom Inc.,18.03.2012,Blue Coat PacketShaper 8.7.3,SHODAN / SCAN,ISP,PacketShaper
Petaling Jaya,Malaysia,"TMNET-AS-AP TM Net, Internet Service Provider",08.04.2012,Blue Coat PacketShaper 8.6.6,SHODAN / SCAN,ISP,PacketShaper
Selangor,Malaysia,MYKRIS-AS-MY MyKRIS Asia Sdn Bhd,15.05.2012,Blue Coat PacketShaper 8.5.4,SHODAN / SCAN,ISP,PacketShaper
Caracas,Venezuela,"CANTV Servicios, Venezuela",03.08.2012,Blue Coat PacketShaper 8.5.2,SHODAN / SCAN,ISP,PacketShaper
